country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,275001.18
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,645138.32
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,157710.92
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,157049.16
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,550718.5
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,634116.91
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,547576.26
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,487752.31
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,427155.65
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,954903.51
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,128643.23
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,189514.53
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,603417.63
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,276673.26
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,975304.87
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,486833.79
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,969552.43
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,151673.77
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,749611.66
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,71821.13
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,969695.39
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,842593.84
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,933893.18
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,393752.42
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,708625.98
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,136835.24
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,737966.11
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,108909.55
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,285403.79
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,961939.11
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,471800.34
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,993984.26
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,179163.32
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,699185.27
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,921066.76
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,875875.64
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,415335.39
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,222335.14
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71,357186.4
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,708375.68
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,517703.33
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,368873.46
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,421239.71
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,282208.03
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,117592.19
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,536952.2
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,238132.08
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,39852.46
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,269036.89
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,439.76
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,983051.24
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,219785.72
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,530965.96
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,576163.39
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,177202.9
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,212237.77
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,8878.24
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,291768.36
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,987730.18
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,236300.16
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,209868.63
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,755657.29
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,694905.41
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,795884.72
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22,342270.4
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,638768.94
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51,618671.9
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,774482.76
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,900737.25
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,141702.23
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69,845788.93
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,120147.41
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31,894967.89
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,277576.66
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38,461097.86
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,599371.23
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,163633.92
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,986235.03
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,349107.03
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69,559692.1
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20,335695.27
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,385392.89
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,945808.92
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,596045.93
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15,756734.61
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,594463.92
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39,457809.36
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63,549407.47
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34,714734.34
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51,849829.15
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,826283.64
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,617552.01
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52,895516.08
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45,2300.9
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,76847.12
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,175267.08
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,746459.85
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35,563783.32
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58,254992.01
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16,869574.54
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,282693.33
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,422685.77
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56,937800.06
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39,416148.64
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,112360.67
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,800050.72
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,690642.11
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,713488.69
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,707446.31
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29,155142.88
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41,923643.01
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6,239333.55
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,874545.08
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29,90941.95
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64,529640.2
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,610247.92
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,863624.98
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44,755785.28
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,164098.23
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,260088.66
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17,232449.13
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10,800115.9
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48,925111.19
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67,273568.29
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,797790.84
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37,905285.19
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51,512302.72
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,416860.08
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,744535.74
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27,755108.61
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,660281.22
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,403766.48
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12,86790.87
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,390169.77
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,376194.15
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61,485111.94
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47,759882.82
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,286273.62
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,992452.53
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,49023.06
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19,538670.07
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4,808418.29
UK,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14,21606.12
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,209752.44
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10,559963.12
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28,344528.92
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66,897642.43
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36,538787.19
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2,303997.71
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60,822323.62
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66,521930.82
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44,758313.83
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26,988386.12
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69,325588.89
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41,254938.54
UK,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26,339199.28
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54,170059.52
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67,491343.65
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37,341149.14
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72,446206.04
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22,28412.09
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53,180764.36
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44,676392.53
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64,961618.91
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25,345388.47
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8,263494.88
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32,791439.22
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49,591883.92
UK,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30,186618.59
Japan,2018,Ransomware,Retail,48,187730,Nation-state,Weak Passwords,AI-based Detection,26,187778
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69,6543.78
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56,762677.73
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29,256426.26
Brazil,2021,SQL Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29,437688.59
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53,80918.09
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71,967673.36
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4,934479.52
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22,547806.83
China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26,809080.63
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48,261090.86
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49,841058.01
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67,175106.02
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53,774680.17
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49,558394.45
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14,620092.78
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56,90680.66
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3,449672.93
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40,207900.91
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53,908342.6
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63,470942.39
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31,342052.21
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55,316989.75
India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16,633493.45
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43,123889.98
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44,305984.93
Russia,2023,SQL Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34,702945.66
